card_name,issuer,card_type,annual_fee,annual_fee_year_1,annual_fee_year_2_plus,reward_model,cashback_rate_display,cashback_rate_effective,signup_bonus,signup_bonus_type,estimated_bonus_value_usd,intro_apr_purchase,foreign_tx_fee,best_for,why_this_card_exiss,pros,cons
Southwest Rapid Rewards Priority,Chase,personal,149,149,149,airline,"4 / 2 / 1",0.5,75000,miles,750,N/A,No,Regular Southwest flyers seeking annual credits and anniversary points,Mid-premium Southwest card balancing cost and perks for several trips per year,$75 annual Southwest travel credit; 7500 anniversary points; 4× Southwest; upgraded boardings,$149 fee requires regular Southwest use to justify; credits expire; fewer elite benefits than Business Performance
Southwest Rapid Rewards Premier,Chase,personal,99,99,99,airline,"3 / 2 / 1",0.5,50000,miles,500,N/A,No,Southwest loyalists building toward Companion Pass on a budget,Entry co-brand for Southwest ecosystem and Companion Pass qualification via spend,6000 anniversary points; 3× Southwest; contributes to Companion Pass; no foreign transaction fee,Fewer perks than Priority; no statement credits; less compelling without Companion Pass strategy
Marriott Bonvoy Bountiful,Chase,personal,250,250,250,hotel,"6 / 4 / 2",0.5,85000,points,850,N/A,No,Frequent Marriott guests wanting automatic status and annual free night,Premium Marriott card delivering Silver Elite status and flexible points earning across travel/dining,6× at Marriott; 4× dining; 2× other; annual free night (up to 50k points); automatic Silver Elite,$250 annual fee; free night capped at 50k properties; value tied entirely to Marriott footprint
IHG One Rewards Premier,Chase,personal,99,99,99,hotel,"10 / 5 / 3 / 1",0.6,140000,points,1400,N/A,No,Regular IHG guests seeking Platinum status and strong hotel multipliers,Delivers outsized IHG earning and status perks at accessible annual fee,10× at IHG; anniversary free night; automatic Platinum Elite; no foreign transaction fee,Annual free night restricted to properties ≤40k points; value depends on IHG loyalty and footprint
IHG One Rewards Traveler,Chase,personal,0,0,0,hotel,"5 / 3 / 2 / 1",0.4,80000,points,800,N/A,No,Casual IHG guests wanting no-fee hotel earning and some bonus categories,Entry IHG card for occasional hotel stays without ongoing cost commitment,No annual fee; 5× at IHG; bonus on gas and dining; no foreign transaction fee,No free night certificate; no elite status; lower effective value than Premier for frequent guests
Chase Sapphire Reserve for Business,Chase,business,550,550,550,travel,N/A,0.5,60000,points,600,N/A,No,Business owners with heavy travel spend needing premium protections and lounge access,Business version of flagship Reserve delivering same premium travel experience with business expense tracking,$300 travel credit; Priority Pass; strong travel protections; 1.5× portal boost; cell phone protection,$550 annual fee requires high travel spend; benefits overlap personal Reserve if held together
Ink Business Preferred Credit Card,Chase,business,95,95,95,travel,N/A,0.5,100000,points,1000,N/A,No,Small businesses maximizing Ultimate Rewards points on common expense categories,Flagship Ink card optimized for points earning on internet shipping advertising and travel,Huge welcome bonus (often 100k+); 3× on travel shipping internet/cable/phone ads; transferable points,$95 annual fee; 3× categories capped at $150k/year combined; value tied to Ultimate Rewards transfer partners
Ink Business Premier Credit Card,Chase,business,195,195,195,cashback,"2.5 / 2",2.2,1000,dollars,1000,N/A,No,High-spend businesses wanting simple cash back on large purchases,Premium cash-back Ink optimized for businesses making frequent large transactions ($5k+),2.5% on purchases ≥$5k; 2% all other; strong welcome bonus; simple cash redemption,$195 annual fee; cash back not transferable to travel partners; requires high spend to maximize 2.5% tier
United Business Card,Chase,business,0,0,99,airline,"2 / 1.5 / 1",0.5,100000,miles,1000,N/A,No,Small businesses with moderate United travel seeking strong welcome bonus and perks,Brings United co-brand earning and benefits to business travelers at accessible cost,First year free then $99; strong 100k+ welcome offer; 2× on United gas office telecom; free bag,Annual fee after year one; best value with regular United flights; fewer perks than Club Business
United Club Business Card,Chase,business,450,450,450,airline,"4 / 2 / 1",0.5,100000,miles,1000,N/A,No,Businesses with weekly United travel needing lounge access and premium benefits,Premium United business card delivering United Club membership and elevated earning,United Club membership included; 4× United; free checked bags; club passes for employees,$450 annual fee justified only with very frequent United travel; niche outside United hub cities
Southwest Rapid Rewards Performance Business,Chase,business,299,299,299,airline,"4 / 3 / 2 / 1",0.5,120000,miles,1200,N/A,No,Businesses building large Southwest point balances and pursuing Companion Pass,Top-tier Southwest business card packed with credits anniversary points and huge welcome bonus,Massive welcome offer; 9000 anniversary points; Wi-Fi and upgraded boarding credits; 4× Southwest,$299 annual fee; credits require active use; value tied to Southwest footprint and Companion Pass strategy
Southwest Rapid Rewards Premier Business,Chase,business,99,99,99,airline,"3 / 2 / 1",0.5,60000,miles,600,N/A,No,Small businesses flying Southwest occasionally and contributing to Companion Pass,Entry Southwest business card balancing cost and Companion Pass qualification,6000 anniversary points; 3× Southwest; contributes to Companion Pass; no foreign transaction fee,Fewer perks than Performance Business; no statement credits; less compelling without Companion Pass goal
IHG One Rewards Premier Business,Chase,business,99,99,99,hotel,"10 / 5 / 3 / 1",0.6,140000,points,1400,N/A,No,Businesses with regular IHG stays seeking Platinum status and strong multipliers,Business version of IHG Premier delivering same hotel perks with expense separation,10× at IHG; anniversary free night; Platinum Elite; strong earning on gas and dining,$99 annual fee; free night capped at 40k points; value depends on IHG loyalty program engagement
World of Hyatt Business Credit Card,Chase,business,199,199,199,hotel,"4 / 2 / 1",0.6,60000,points,600,N/A,No,Businesses loyal to Hyatt properties wanting elite nights via card spend,Hyatt business card offering unique ability to earn elite qualifying nights through spending,5 elite night credits per $10k spend; 4× Hyatt; 2× dining fitness travel; strong point value,$199 annual fee; value tied to Hyatt footprint; elite night earning caps; niche outside Hyatt loyalty
Citi Double Cash,Citi,personal,0,0,0,cashback,"2",2.0,200,dollars,200,"0% for balance transfers",Yes,Flat cashback,Simple 2%,Easy,No categories
Citi Custom Cash,Citi,personal,0,0,0,cashback,"5 / 1",2.2,200,dollars,200,"0% for balance transfers",Yes,Top category,5% on top spend,High rate,$500 cap
Citi Strata Premier,Citi,personal,95,95,95,travel,N/A,0.5,60000,points,600,N/A,No,Travel rewards,Good multipliers,Transfer partners,Complex
Citi AAdvantage Platinum Select World Elite Mastercard,Citi,personal,99,99,99,airline,"2 / 1",0.5,65000,miles,650,N/A,No,Regular American Airlines flyers,Mid-tier AA co-brand for frequent AA travelers,Free checked bag; 2× AA purchases; reduced award fees; no FX fee,$99 annual fee; best for AA loyalists only
Citi AAdvantage Globe Mastercard,Citi,personal,0,0,0,airline,"2 / 1",0.5,30000,miles,300,N/A,No,Occasional AA flyers wanting no-fee earning,Entry AA card with no annual cost,No annual fee; 2× AA; milestone bonuses; no FX fee,No free bag; fewer perks than Platinum Select
Citi AAdvantage Executive World Elite Mastercard,Citi,personal,450,450,450,airline,"2 / 1",0.5,70000,miles,700,N/A,No,Frequent AA flyers seeking Admirals Club access,Premium AA card with lounge membership,Admirals Club access; free bags; priority boarding; bonus miles,$450 annual fee; justified only with heavy AA travel
Citi Strata Elite Credit Card,Citi,personal,195,195,195,travel,N/A,0.5,80000,points,800,N/A,No,Premium travel with dining and entertainment perks,Top-tier Strata with elevated earning and credits,High multipliers on travel/dining; annual credits; transfer partners,$195 annual fee; complex optimization required
Citi Strata Credit Card,Citi,personal,0,0,0,travel,N/A,0.5,30000,points,300,N/A,No,Entry-level travel rewards with no annual fee,No-fee Strata for casual travel earners,No annual fee; transferable points; basic travel earning,Lower rates than Premier/Elite; fewer perks
Citi Diamond Preferred Credit Card,Citi,personal,0,0,0,balance_transfer,N/A,0,0,N/A,0,"0% for 21 months",Yes,Long intro APR for balance transfers,Longest 0% BT period in market,21-month 0% BT; no annual fee,No rewards; BT fee applies; FX fee
Citi Simplicity Credit Card,Citi,personal,0,0,0,balance_transfer,N/A,0,0,N/A,0,"0% for 21 months",Yes,Simple 0% APR with no late fees,No-penalty no-late-fee simplicity card,21-month 0% on purchases and BT; no late fees ever,No rewards; FX fee
Citi AAdvantage MileUp Card,Citi,personal,0,0,0,airline,"2 / 1",0.5,15000,miles,150,N/A,No,Light AA flyers wanting grocery bonuses,Hybrid AA earning with grocery category,No annual fee; 2× groceries; AA earning; no FX fee,Lower AA earn; smaller welcome bonus
Citi Secured Mastercard,Citi

Citi Secured Mastercard,Citi,personal,0,0,0,credit_building,N/A,0,0,N/A,0,N/A,Yes,Building or rebuilding credit,Secured card for credit establishment,Low deposit required; reports to all bureaus; path to upgrade,No rewards; requires security deposit; FX fee
Costco Anywhere Visa Business Card by Citi,Citi,business,0,0,0,cashback,"4 / 3 / 2 / 1",2.3,0,N/A,0,N/A,Yes,Businesses with Costco membership and gas spend,Business version of Costco card for category optimization,4% gas (up to $7k/yr); 3% travel/dining; 2% Costco; no annual card fee,Requires Costco membership; rewards paid annually; FX fee
Citi AAdvantage Business World Elite Mastercard,Citi,business,99,99,99,airline,"2 / 1",0.5,65000,miles,650,N/A,No,Small businesses flying AA regularly,AA business card with strong earning and perks,2× AA gas telecom; free first bag; no FX fee,$99 annual fee; best for AA-loyal businesses only
Capital One Quicksilver,Capital One,personal,0,0,0,cashback,"1.5",1.5,150,dollars,150,"0% for 15 months",Yes,Simple cashback,Flat rate,Easy,No bonuses
Capital One SavorOne,Capital One,personal,0,0,0,cashback,"3 / 2 / 1",1.7,200,dollars,200,"0% for 15 months",Yes,Dining,Food rewards,Good categories,Lower ceiling
Capital One Venture,Capital One,personal,95,95,95,travel,N/A,0.5,75000,miles,750,N/A,No,Simple travel,Flat miles,Easy to use,Less partners
Capital One Venture X,Capital One,personal,395,395,395,travel,N/A,0.5,75000,miles,750,N/A,No,Premium travel,Great value,Lounge access,Fee
Capital One Platinum,Capital One,personal,0,0,0,credit_building,N/A,0,0,N/A,0,N/A,No,Building credit,No-fee starter card for building credit,No annual fee; helps build credit with responsible use,No rewards; best only for credit building
Capital One Spark Cash,Capital One,business,0,0,0,cashback,"1.5",1.5,500,dollars,500,N/A,No,Simple business cash back,Flat-rate cash back for small businesses,No annual fee; 1.5% on all purchases; easy to understand,Lower earn rate than premium business cards
Capital One Spark Cash Plus,Capital One,business,150,150,150,cashback,"2 / 5 travel portal",2.0,2000,dollars,2000,N/A,No,High-spend business cash back,2% back on everything for higher-spend businesses,2% unlimited cash back; 5% via Capital One Travel; strong welcome bonus,Annual fee; charge-card style (pay-in-full); best for high spend
Capital One Spark Cash Select,Capital One,business,0,0,0,cashback,"1.5",1.5,500,dollars,500,N/A,No,No-fee business cash back,Starter business card with simple 1.5% back,No annual fee; solid 1.5% flat-rate; easy approval profile,Lower earn than Spark Cash Plus; fewer premium perks
Capital One Venture X Business,Capital One,business,395,395,395,travel,"2 / 10 / 5",0.5,200000,miles,2000,N/A,No,Premium business travel,Frequent-traveler business owners wanting lounge access and credits,2x on everything; up to 10x via portal; strong lounge access and travel credits,High annual fee; big spend needed to fully optimize benefits
Capital One Spark Miles,Capital One,business,0,0,0,travel,"2 / 5 travel portal",0.5,50000,miles,500,N/A,No,Simple business travel rewards,Straightforward miles on all business spend,2x miles on all purchases; 5x via Capital One Travel; flexible travel redemptions,No premium perks compared to Venture/Venture X; requires travel focus
Bank of America Customized Cash,Bank of America,personal,0,0,0,cashback,"3 / 2 / 1",1.7,200,dollars,200,"0% for 15 months",Yes,Custom category,Pick your category,Flexible,Caps
Bank of America Unlimited Cash,Bank of America,personal,0,0,0,cashback,"1.5",1.5,150,dollars,150,"0% for 15 months",Yes,Flat cashback,Simple unlimited,Easy,No categories
BankAmericard Cash Rewards,Bank of America,personal,0,0,0,cashback,"3 / 2 / 1",1.6,150,dollars,150,"0% for 15 months",Yes,Intro APR + cashback,Balance + rewards,Category bonuses,Caps
Bank of America Travel Rewards,Bank of America,personal,0,0,0,travel,"1.5",1.5,250,points,2.5,"0% for 15 months",No,No-fee travel,Simple travel card,No foreign fee,Low ceiling
Bank of America Premium Rewards,Bank of America,personal,95,95,95,travel,"1.5",1.5,600,points,6,N/A,No,Premium travel,Good all-around,Strong bonus,Annual fee
Bank of America Business Advantage Travel Rewards,Bank of America,business,0,0,0,travel,"1.5",1.5,25000,points,250,"0% for 9 months",No,Business travel,Good entry-level business travel card,No foreign fee flexible rewards,Lower earning rates than premium cards
Bank of America Business Advantage Atomos Rewards,Bank of America,business,95,0,95,cashback,"3 / 2 / 1",1.7,50000,dollars,500,"0% for 9 months",Yes,Business rewards flexibility,Broad everyday and bonus categories,Good bonus structure,Annual fee
Bank of America Business Advantage Customized Cash Rewards,Bank of America,business,0,0,0,cashback,"3 / 2 / 1",1.7,30000,dollars,300,"0% for 9 months",Yes,Custom business cash back,Set your top category,Flexible earning,Category caps
U.S. Bank Cash+,U.S. Bank,personal,0,0,0,cashback,"5 / 2 / 1",2.0,200,dollars,200,"0% for 12 months",Yes,Category rewards,High upside,5% categories,Activation
U.S. Bank Unlimited Cash,U.S. Bank,personal,0,0,0,cashback,"1.5",1.5,150,dollars,150,"0% for 12 months",Yes,Simple cashback,Flat rate card,Easy,Low ceiling
Amex Blue Cash Everyday,Amex,personal,0,0,0,cashback,"3 / 2 / 1",1.7,200,dollars,200,"0% for 15 months",Yes,Groceries + gas,Great everyday Amex,3% groceries + gas,Foreign fee
Amex Blue Cash Preferred,Amex,personal,95,0,95,cashback,"6 / 3 / 1",2.5,300,dollars,300,"0% for 12 months",Yes,High grocery spend,Best grocery card,6% groceries,Annual fee
Amex Green,Amex,personal,150,150,150,travel,N/A,0.5,60000,points,600,N/A,No,Entry travel,Simple travel rewards,Good credits,Mid fee
Amex Gold,Amex,personal,250,250,250,travel,N/A,0.5,60000,points,600,N/A,No,Food + travel,Best dining card,High rewards,Couponing
Amex Platinum,Amex,personal,695,695,695,travel,N/A,0.5,80000,points,800,N/A,No,Luxury travel,Top perks,Lounge access,Very high fee
Barclays JetBlue Premier,Barclays,personal,99,99,99,airline,N/A,0.5,60000,miles,600,N/A,No,JetBlue frequent flyers,Higher tier JetBlue card with bonus points,Free checked bags + Mosaic qualifying points,Annual fee
Barclays JetBlue Plus,Barclays,personal,69,69,69,airline,N/A,0.5,50000,miles,500,N/A,No,JetBlue occasional flyers,Entry JetBlue card with bonus points,Free checked bags on JetBlue,Limited extras compared to Premier
Barclays Frontier Airlines World Mastercard,Barclays,personal,0,0,0,airline,N/A,0.4,30000,miles,300,N/A,No,Frontier airline travelers,No fee co-branded Frontier card,Discounts on bags + inflight purchases,No foreign fee and limited partners
Barclays JetBlue Business Card,Barclays,business,99,99,99,airline,N/A,0.5,70000,miles,700,N/A,No,JetBlue business travel,Business-oriented JetBlue bonus,Points toward flights + Mosaic perks,Annual fee for business card


Marriott Bonvoy Bevy American Express Card,Amex,personal,250,250,250,hotel,"6 / 4 / 2",0.5,100000,points,1000,N/A,No,Regular Marriott guests wanting Gold Elite and credits,Mid-premium Marriott Amex with automatic status and anniversary night,6× Marriott; 4× dining gas wireless; 2× other; annual free night; automatic Gold Elite; $150 statement credits,$250 annual fee; free night up to 50k points; value tied to Marriott loyalty
Hilton Honors American Express Aspire Card,Amex,personal,450,450,450,hotel,"14 / 7 / 3",0.4,175000,points,1750,N/A,No,Frequent Hilton guests seeking Diamond status and resort credits,Premium Hilton card with top-tier status and strong perks package,Diamond status; $250 airline credit; $250 resort credit; Priority Pass; weekend free night; 14× Hilton,$450 annual fee justified only with regular Hilton stays; lower point value than airline miles
American Express Green Card,Amex,personal,150,150,150,travel,"3 / 3 / 1",0.5,50000,points,500,N/A,No,Transit and dining spenders wanting Membership Rewards,Entry charge card for lifestyle + travel with clean design,3× travel transit dining; CLEAR credit; LoungeBuddy passes; transferable Membership Rewards,$150 annual fee; narrower bonus categories than Gold; pay-in-full monthly required
Delta SkyMiles Gold American Express Card,Amex,personal,0,99,99,airline,"2 / 1",0.5,50000,miles,500,N/A,No,Moderate Delta flyers wanting free bag and early boarding,Mid-tier Delta card with core perks at accessible fee,First year free then $99; 2× Delta restaurants; free first bag; priority boarding,Annual fee after year 1; smaller bonus vs Platinum; best for several Delta trips/year
Hilton Honors American Express Surpass Card,Amex,personal,150,150,150,hotel,"12 / 6 / 3",0.4,150000,points,1500,N/A,No,Regular Hilton guests seeking high earn rates and automatic Gold status,Mid-tier Hilton card balancing strong multipliers and manageable fee,12× Hilton; 6× groceries gas dining; automatic Gold Elite; weekend night after $15k spend,$150 annual fee; value depends on Hilton footprint; lower point redemption value
Marriott Bonvoy Brilliant American Express Card,Amex,personal,650,650,650,hotel,"6 / 3 / 2",0.5,185000,points,1850,N/A,No,Heavy Marriott travelers wanting Platinum Elite and luxury credits,Premium Marriott Amex with top-tier status and statement credits,Platinum Elite; $300 Marriott credit; annual free night (up to 85k); Priority Pass; 6× Marriott,$650 annual fee; best for frequent Marriott stays; free night cert is strong value
Delta SkyMiles Platinum American Express Card,Amex,personal,350,350,350,airline,"3 / 1",0.5,70000,miles,700,N/A,No,Frequent Delta flyers needing companion certificate and lounge access,Premium Delta card with strong perks for regular SkyMiles flyers,Companion certificate (annual); Delta Sky Club discounted access; free bags; priority boarding; 3× Delta,$350 annual fee; companion cert restrictions apply; best for frequent Delta travel
Hilton Honors American Express Business Card,Amex,business,95,95,95,hotel,"12 / 6 / 3",0.4,150000,points,1500,N/A,No,Small businesses with Hilton stays and category spend,Business Hilton card with strong multipliers and Gold status,12× Hilton; 6× groceries gas wireless shipping; automatic Gold Elite; weekend night after $15k,$95 annual fee; lower point redemption value; best with regular Hilton business travel
Marriott Bonvoy Business American Express Card,Amex,business,125,125,125,hotel,"6 / 4 / 2",0.5,100000,points,1000,N/A,No,Businesses with Marriott stays seeking Silver Elite,Mid-tier Marriott business card with automatic status and solid multipliers,6× Marriott; 4× dining gas wireless shipping; 2× other; automatic Silver Elite; annual free night,$125 annual fee; free night up to 50k points; value tied to Marriott program engagement
Delta SkyMiles Gold Business American Express Card,Amex,business,0,99,99,airline,"2 / 1",0.5,60000,miles,600,N/A,No,Small businesses with moderate Delta travel,Entry-mid Delta business card with free first year,First year free then $99; 2× Delta restaurants; free first bag; early boarding,Annual fee after year 1; fewer perks than Platinum; best for several Delta trips annually
Delta SkyMiles Platinum Business American Express Card,Amex,business,350,350,350,airline,"3 / 1.5 / 1",0.5,90000,miles,900,N/A,No,Frequent Delta business travelers seeking companion certificate,Premium Delta business card with strong perks and earning,Companion certificate (annual); discounted Sky Club access; 3× Delta; 1.5× $5k+ purchases; free bags,$350 annual fee; companion cert restrictions; best for regular Delta business travel
The Business Platinum Card from American Express,Amex,business,695,695,695,travel,N/A,0.5,150000,points,1500,N/A,No,High-spend businesses needing premium travel benefits and credits,Flagship Amex business card with luxury perks and flexible points,1.5× purchases $5k+; Dell Adobe Indeed credits; Centurion Lounge access; strong travel protections,$695 annual fee; credits require optimization; best for heavy business travel and tech spend
Blue Business Plus Credit Card from American Express,Amex,business,0,0,0,travel,"2",0.5,15000,points,150,N/A,No,Small businesses wanting no-fee Membership Rewards earning,Entry business card with flat Membership Rewards and no annual fee,No annual fee; 2× on all purchases (up to $50k/yr); transferable Membership Rewards; simple structure,2× capped at $50k/year then 1×; lower welcome bonus; no premium perks
