card_name,issuer,card_type,annual_fee,annual_fee_year_1,annual_fee_year_2_plus,reward_model,card_family,cashback_rate_display,cashback_rate_effective,signup_bonus,signup_bonus_type,estimated_bonus_value_usd,intro_apr_purchase,foreign_tx_fee,best_for,why_this_card_exiss,pros,cons
Citi Secured Mastercard,Citi,personal,0,0,0,credit_building,,,0.0,0,,0,,Yes,Building or rebuilding credit with a secured deposit and path to unsecured card,Secured card designed for credit establishment with low barrier to entry and upgrade potential,Low minimum deposit required; reports to all three credit bureaus; potential path to unsecured card upgrade; no annual fee,No rewards earning; requires refundable security deposit ($200-$2500); foreign transaction fee; best only for credit building
Costco Anywhere Visa Business Card by Citi,Citi,business,0,0,0,cashback,,4 / 3 / 2 / 1,2.3,0,,0,,Yes,Businesses with Costco membership and high gas/travel/dining spend,Business version of Costco's strong category card optimized for warehouse and business travel,4% on gas (up to $7k/year); 3% on restaurants and travel; 2% at Costco and Costco.com; 1% elsewhere; no annual card fee (Costco membership required),Requires active Costco Business membership; rewards paid annually in February lump sum; foreign transaction fee; reward delay frustrating for cash flow
Citi AAdvantage Business World Elite Mastercard,Citi,business,99,99,99,airline,American ,2 / 1,0.5,65000,miles,650,,No,Small businesses flying AA regularly for meetings clients or conferences,AA business card delivering strong earning on common business categories and flight perks,2× on AA purchases gas stations telecom and cable; first checked bag free; no foreign transaction fee; business expense separation,$99 annual fee justified only with regular AA business travel; AA program devaluation risk; perks limited to AA flights
Capital One Quicksilver,Capital One,personal,0,0,0,cashback,,1.5,1.5,150,dollars,150,0% for 15 months,Yes,Simple unlimited 1.5% cash back on all purchases without thinking,Straightforward flat-rate card for users wanting simplicity over category optimization,Unlimited 1.5% cash back on everything; no annual fee; 0% intro APR for 15 months; no foreign transaction fee,No bonus categories; lower earning than category cards; welcome bonus smaller than competitors; best for simplicity seekers only
Capital One SavorOne,Capital One,personal,0,0,0,cashback,,3 / 2 / 1,1.7,200,dollars,200,0% for 15 months,Yes,Dining and entertainment spending with strong grocery and streaming bonuses,No-fee lifestyle card targeting foodies and entertainment spenders with everyday categories,3% on dining entertainment and popular streaming; 3% at grocery stores (excluding superstores); 5% on hotels/car rentals via Capital One Travel; 1% elsewhere; no annual fee; no FX fee,Lower ceiling than premium dining cards; 3% grocery excludes Walmart/Target; entertainment category narrowly defined; intro APR period shorter than competitors
Capital One Venture,Capital One,personal,95,95,95,travel,,,0.5,75000,miles,750,,No,Straightforward travel rewards with simple 2× earning on everything,Entry-premium travel card offering flat-rate miles and flexible redemption without transfer complexity,Unlimited 2× miles on all purchases; miles worth 1 cent toward travel through Capital One portal; easy redemption against travel purchases; no FX fee; transfer to 15+ airline partners,$95 annual fee; transfer partners less valuable than Chase/Amex; portal pricing not always competitive; flat 2× less exciting than category bonuses
Capital One Venture X,Capital One,personal,395,395,395,travel,,,0.5,75000,miles,750,,No,Premium travel with strong lounge access credits and travel perks under $400 annual fee,Flagship Capital One travel card competing with Chase Sapphire Reserve at lower annual fee with better credit offsetting value,Unlimited 2× miles (10× via portal); $300 annual travel credit; Priority Pass + Plaza Premium lounge access; anniversary 10k bonus miles; strong travel protections; no FX fee,$395 annual fee requires optimization; must use Capital One portal for 10× earning; credits require active booking; fewer transfer partners than Amex/Chase
Capital One Platinum,Capital One,personal,0,0,0,credit_building,,,0.0,0,,0,,No,Building or rebuilding credit with unsecured card and credit line increase path,Unsecured starter card for fair/limited credit with potential for automatic reviews and credit line growth,No annual fee; unsecured (no deposit required); automatic credit line increase reviews; reports to all bureaus; helps build positive payment history,No rewards earning; best only for credit building; limited benefits; foreign transaction fee; users should graduate to rewards cards after credit improves
Capital One Spark Cash,Capital One,business,0,0,0,cashback,Spark ,1.5,1.5,500,dollars,500,,No,Simple unlimited 1.5% cash back for small businesses wanting flat-rate earning,No-fee business cash back for straightforward expense tracking and earning without categories,Unlimited 1.5% cash back on all business purchases; no annual fee; easy expense management; employee cards at no cost; no FX fee,Lower earn than category-optimized business cards; no bonus categories; $500 welcome offer requires $4500 spend in 3 months; best for simplicity over maximization
Capital One Spark Cash Plus,Capital One,business,150,150,150,cashback,Spark ,2 / 5 travel portal,2.0,2000,dollars,2000,,No,High-spend businesses wanting unlimited 2% cash back on everything,Premium unlimited cash back for businesses with heavy monthly spend seeking simple strong earning,Unlimited 2% cash back on all purchases; 5% on hotels and rental cars via Capital One Travel; $2000 welcome bonus; no preset spending limit; no FX fee,First year annual fee waived then $150; charge card (pay in full monthly); requires excellent credit and high spend to justify; fewer perks than travel-focused biz cards
Capital One Spark Cash Select,Capital One,business,0,0,0,cashback,Spark ,1.5,1.5,500,dollars,500,,No,No-fee business cash back for startups or businesses with moderate spend,Starter business card with flat cash back and easier approval than Spark Cash Plus,No annual fee; 1.5% cash back on all purchases; easier credit approval; employee cards included; no FX fee,Lower earn rate than Spark Cash Plus; $500 welcome bonus smaller than premium competitors; no bonus categories; best as first business card
Capital One Venture X Business,Capital One,business,395,395,395,travel,,2 / 10 / 5,0.5,200000,miles,2000,,No,Premium business travel with lounge access strong portal earning and travel credits,Flagship business travel card competing with Amex Business Platinum at lower annual fee with better value proposition,Unlimited 2× miles (10× via Capital One Travel portal); $300 annual travel credit; Priority Pass + Plaza Premium lounges; 5× on hotels/car rentals; no FX fee; strong protections,$395 annual fee; 10× requires Capital One portal booking; 200k bonus requires $30k spend; fewer transfer partners than Amex; best for heavy business travel spend
Capital One Spark Miles,Capital One,business,0,0,0,travel,Spark ,2 / 5 travel portal,0.5,50000,miles,500,,No,Simple business travel rewards with 2× miles on everything and no annual fee,No-fee business travel card for straightforward miles earning without category tracking,Unlimited 2× miles on all purchases; 5× on hotels/car rentals via Capital One Travel; no annual fee; transfer to airline partners; no FX fee,Lower welcome bonus than competitors; no lounge access or premium perks; must book through Capital One portal for 5× bonus; best for light business travelers
Bank of America Customized Cash,Bank of America,personal,0,0,0,cashback,,3 / 2 / 1,1.7,200,dollars,200,0% for 15 months,Yes,Choosing your own 3% category each month from common spending areas,Flexible category optimization for users who want control over bonus earning without annual fee,3% cash back on category of choice each month; 2% at grocery stores and wholesale clubs; 1% elsewhere; Preferred Rewards boosts up to 5.25%; no annual fee,3% capped at $2500/quarter per category; must manually select category; foreign transaction fee; Preferred Rewards requires BoA banking relationship
Bank of America Unlimited Cash,Bank of America,personal,0,0,0,cashback,,1.5,1.5,150,dollars,150,0% for 15 months,Yes,Simple unlimited 1.5% cash back with potential Preferred Rewards boost,Straightforward flat-rate earning for BoA banking customers wanting set-it-and-forget-it rewards,Unlimited 1.5% cash back on all purchases; Preferred Rewards boost up to 2.625%; 0% intro APR for 15 months; no annual fee,No bonus categories; lower base rate without Preferred Rewards; foreign transaction fee; best value requires BoA deposit/investment accounts
BankAmericard Cash Rewards,Bank of America,personal,0,0,0,cashback,,3 / 2 / 1,1.6,150,dollars,150,0% for 15 months,Yes,Online shopping and category bonuses with long intro APR for balance transfers,Combines cash back earning with 0% intro period for users managing existing debt while earning rewards,3% on category of choice; 2% at grocery stores and wholesale clubs; 1% elsewhere; 0% intro APR for 15 months; Preferred Rewards boost,3% capped at $2500/quarter; foreign transaction fee; must choose category; rewards value maximized with BoA banking relationship
Bank of America Travel Rewards,Bank of America,personal,0,0,0,travel,,1.5,1.5,250,points,2,0% for 15 months,No,No-fee travel card with no foreign transaction fees and simple earning,Entry travel card for BoA customers wanting flexible points redemption without annual cost,Unlimited 1.5 points per dollar; no foreign transaction fees; points redeem toward travel statement credits; Preferred Rewards boost up to 2.625 points; 0% intro APR,Lower earn rate than premium travel cards; points not transferable to partners; Preferred Rewards boost requires BoA banking; redemption limited to travel purchases
Bank of America Premium Rewards,Bank of America,personal,95,95,95,travel,,1.5,1.5,600,points,6,,No,Premium travel and dining earning for Bank of America Preferred Rewards members,Mid-tier travel card optimized for BoA banking customers with points boost and travel credits,2 points on travel and dining; 1.5 elsewhere; $100 annual airline incidental credit; no foreign transaction fee; points transfer or redeem for travel,$95 annual fee; value heavily dependent on Preferred Rewards status; airline credit narrow; transfer partners limited vs Chase/Amex
Bank of America Business Advantage Travel Rewards,Bank of America,business,0,0,0,travel,,1.5,1.5,25000,points,250,0% for 9 months,No,No-fee business travel card with straightforward earning and no foreign transaction fees,Entry business travel option for BoA business banking customers wanting simple points accumulation,Unlimited 1.5 points per dollar on all business purchases; no foreign transaction fee; no annual fee; 0% intro APR for 9 months; points redeem for travel,Lower earn rate than premium business travel cards; points not transferable to airline/hotel partners; best value with BoA Business Advantage Relationship Rewards; limited premium perks
Bank of America Business Advantage Atmos Rewards,Bank of America,business,95,0,95,cashback,Alaska,3 / 2 / 1,1.7,50000,dollars,500,0% for 9 months,Yes,Flexible business category earning with annual fee waived first year,Category-focused business card with first-year value and BoA banking synergy,3% cash back on category of choice; 2% at grocery stores and wholesale clubs; 1% elsewhere; first year no annual fee; Relationship Rewards boost; 0% intro APR,Annual fee $95 after first year; 3% capped at $50k/year combined; foreign transaction fee; must choose one category; best with BoA business banking
Bank of America Business Advantage Customized Cash Rewards,Bank of America,business,0,0,0,cashback,,3 / 2 / 1,1.7,30000,dollars,300,0% for 9 months,Yes,Choose your own 3% business category for targeted spending optimization,No-fee business cash back with category choice for expense concentration,3% cash back on category of choice; 2% at grocery stores and wholesale clubs; 1% elsewhere; no annual fee; Relationship Rewards boost,3% capped at $50k/year combined across categories; must select one category; foreign transaction fee; best value with BoA business banking relationship
Alaska Airlines Visa Signature,Bank of America,personal,95,95,95,airline,Alaska,3 / 2 / 1,1.5,"70,000 miles after $3,000 spend in 90 days (typical recent offer)",miles,700,,No,Travelers who regularly fly Alaska and want Companion Fare and free checked bag.,Core Alaska Airlines co-brand for Bank of America customers who want strong airline perks at moderate annual fee.,Annual Companion Fare after meeting spend; free checked bag for you and companions; 3x miles on Alaska purchases; 10% mileage bonus with eligible BoA account; no foreign transaction fees,Best value limited to Alaska route network; miles subject to devaluations; annual Companion Fare requires ongoing spend; few non-travel perks
Atmos Rewards Summit Visa Infinite,Bank of America,personal,395,395,395,airline,Alaska,3 / 1,1.8,"100,000 points after $6,000 spend in 90 days (current launch offer)",points,1000,,No,Frequent Alaska and international travelers who want lounge access and premium companion awards.,Premium Alaska co-brand positioned as a Visa Infinite product for global travelers wanting high-end perks and companion awards.,"Up to two Global Companion Awards per year; Alaska Lounge passes; 3x on dining, foreign and Alaska/Hawaiian purchases; 10% rewards bonus with eligible BoA accounts; no foreign transaction fees; strong travel protections",High $395 annual fee; value depends on frequent Alaska or partner travel; complex companion award and spend thresholds; overkill for casual flyers
U.S. Bank Cash+,U.S. Bank,personal,0,0,0,cashback,,5 / 2 / 1,2.0,200,dollars,200,0% for 12 months,Yes,Highest 5% cash back on two categories you choose each quarter,Category maximization for organized spenders wanting top-tier cash back rates in flexible categories,5% cash back on two categories of choice each quarter; 2% on one everyday category; 1% elsewhere; no annual fee,5% capped at $2000 combined per quarter; requires quarterly category selection; foreign transaction fee; category options narrower than competitors; activation needed
U.S. Bank Unlimited Cash,U.S. Bank,personal,0,0,0,cashback,,1.5,1.5,150,dollars,150,0% for 12 months,Yes,Simple unlimited 1.5% cash back with long intro APR period,Straightforward flat-rate card for set-it-and-forget-it cash back with 0% financing option,Unlimited 1.5% cash back on all purchases; 0% intro APR for 12 months; no annual fee; easy redemption,No bonus categories; lower earning than category-focused cards; foreign transaction fee; $150 welcome bonus requires $1000 spend in first 90 days
Amex Blue Cash Everyday,Amex,personal,0,0,0,cashback,,3 / 2 / 1,1.7,200,dollars,200,0% for 15 months,Yes,Grocery and gas spending with no annual fee for everyday Amex benefits,No-fee cash back card targeting grocery shoppers who want Amex benefits without premium cost,3% cash back at U.S. supermarkets (up to $6k/year); 3% at U.S. gas stations and select transit; 2% at U.S. department stores; 1% elsewhere; no annual fee; 0% intro APR for 15 months,Foreign transaction fee; 3% supermarket bonus capped at $6k/year then 1%; excludes superstores like Walmart/Target; lower rates than Blue Cash Preferred
Amex Blue Cash Preferred,Amex,personal,95,0,95,cashback,,6 / 3 / 1,2.5,300,dollars,300,0% for 12 months,Yes,Heavy grocery spenders wanting industry-leading 6% back at supermarkets,Premium grocery cash back card with best-in-class supermarket earning for high grocery spend households,6% cash back at U.S. supermarkets (up to $6k/year); 6% on select U.S. streaming services; 3% at U.S. gas stations and transit; 3% at U.S. department stores; 1% elsewhere; first year annual fee waived,Annual fee $95 after first year; 6% supermarket capped at $6k/year then 1%; foreign transaction fee; excludes Walmart/Target; requires $3k+ grocery spend annually to beat Blue Cash Everyday
Amex Green,Amex,personal,150,150,150,travel,,,0.5,60000,points,600,,No,Transit dining and travel spenders wanting Membership Rewards without premium annual fee,Entry Membership Rewards charge card for urban lifestyle and moderate travelers who want points flexibility,3× on travel; 3× on transit (including rideshare taxis parking); 3× on dining; 1× elsewhere; transferable Membership Rewards to 20+ airline/hotel partners; CLEAR Plus credit ($189 value); no preset spending limit,Annual fee $150; narrower 3× categories than Gold; must pay in full monthly (charge card); fewer credits than Gold/Platinum; foreign transaction fee on some purchases
Amex Gold,Amex,personal,250,250,250,travel,,,0.5,60000,points,600,,No,Dining and grocery spending for travelers who want strong category multipliers and flexible points,Premium dining and grocery card delivering highest earning in key categories with Membership Rewards transfer power,4× at restaurants worldwide; 4× at U.S. supermarkets (up to $25k/year); 3× on flights; transferable Membership Rewards; $120 Uber Cash annually; $120 dining credits annually,Annual fee $250; credits require active use; 4× supermarket capped at $25k/year then 1×; must pay in full monthly (charge card); complex credit optimization needed
Amex Platinum,Amex,personal,695,695,695,travel,,,0.5,80000,points,800,,No,Luxury travelers wanting premium lounge access elite status and comprehensive travel credits,Flagship premium travel card for frequent flyers prioritizing experience perks and airport lounge access over earning rates,5× on flights booked direct or via Amex Travel; 5× on prepaid hotels via Amex Travel; Centurion Lounge + Priority Pass + Delta Sky Club access; $200 hotel credit; $200 airline credit; automatic hotel elite status; strong travel protections,Annual fee $695; credits are complex and restrictive; 1× earning on most purchases; must pay in full monthly; value requires heavy travel and credit optimization
