card_name,issuer,card_type,annual_fee,annual_fee_year_1,annual_fee_year_2_plus,reward_model,rewards_type,card_family,cashback_rate_display,cashback_rate_effective,signup_bonus,signup_bonus_type,estimated_bonus_value_usd,minimum_spend_amount,bonus_to_spend_ratio,spend_time_frame,intro_apr_purchase,foreign_tx_fee,best_for,why_this_card_exiss,pros,cons,application_link,ftf,lounge,ge_tsa_precheck,special_feature_1,special_feature_2
Southwest Rapid Rewards Priority,Chase,personal,149,149,149,airline,Southwest Rapid Rewards,Southwest ,4 / 2 / 1,0.5,75000,miles,750,"$1,000",0.7500,3,,No,Regular Southwest flyers seeking annual credits and anniversary points,Mid-premium Southwest card balancing cost and perks for several trips per year,"• $75 Southwest credit ✓ • 7,500 anniversary pts ✓ • 4× Southwest ✓ • No foreign transaction fee ✓",• $149 annual fee 💰 • Needs regular Southwest use • Credits expire annually,https://creditcards.chase.com/travel-credit-cards/southwest/priority,0%,,,$75 Southwest credit,"7,500 pts anniversary"
Southwest Rapid Rewards Premier,Chase,personal,149,149,149,airline,Southwest Rapid Rewards,Southwest ,3 / 2 / 1,0.5,50000,miles,500,"$1,000",0.5000,3,,No,Southwest loyalists building toward Companion Pass on a budget,Entry co-brand for Southwest ecosystem and Companion Pass qualification via spend,"• 6,000 anniversary pts ✓ • 3× Southwest ✓ • Companion Pass qualification ✓",• $149 annual fee 💰 • Fewer perks than Priority • Best with Companion Pass goal,https://creditcards.chase.com/southwest/premier-credit-card,0%,,,"6,000 pts anniversary",15% flight discount yearly
Marriott Bonvoy Bountiful,Chase,personal,250,250,250,hotel,Marriott Bonvoy Points,Marriott ,6 / 4 / 2,0.5,85000,points,283,"$4,000",0.0707,3,,No,Frequent Marriott guests wanting automatic status and annual free night,Premium Marriott card delivering Silver Elite status and flexible points earning across travel/dining,"• 6× Marriott ✓ • 4× dining, 2× travel ✓ • Free night (50k pts) ✓",• $250 annual fee 💰 • Free night caps at 50k • Marriott-only value,https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/bountiful,0%,,,Free night after $15k (50k pts),"15 Elite Night Credits, Gold Elite"
IHG One Rewards Premier,Chase,personal,99,99,99,hotel,IHG One Rewards,IHG ,10 / 5 / 3 / 1,0.6,175000,points,583,"$5,000",0.1166,3,,No,Regular IHG guests seeking Platinum status and strong hotel multipliers,Delivers outsized IHG earning and status perks at accessible annual fee,• 10× IHG ✓ • Free night (40k pts) ✓ • Platinum Elite status ✓,• $99 annual fee 💰 • Free night ≤40k only • IHG loyalty needed,https://creditcards.chase.com/travel-credit-cards/ihg-rewards-club/premier,0%,,Yes ($120/4yr),Anniversary free night (40k),$100+10k pts after $20k/yr
IHG One Rewards Traveler,Chase,personal,0,0,0,hotel,IHG One Rewards,IHG ,5 / 3 / 2 / 1,0.4,90000,points,300,"$2,000",0.1500,3,,No,Casual IHG guests wanting no-fee hotel earning and some bonus categories,Entry IHG card for occasional hotel stays without ongoing cost commitment,"• No annual fee ✓ • 5× IHG ✓ • 3× gas, dining ✓",• No free night • No elite status • Lower value than Premier,https://creditcards.chase.com/travel-credit-cards/ihg-rewards-club/traveler,0%,,,Silver Elite; up to 120k with 3x bonus,10k pts after $10k/yr; 4th night free
Chase Sapphire Reserve for Business,Chase,business,795,795,795,travel,Ultimate Rewards (UR),Sapphire ,,0.5,150000,points,1500,"$20,000",0.0750,3,,No,Business owners with heavy travel spend needing premium protections and lounge access,Business version of flagship Reserve delivering same premium travel experience with business expense tracking,• $300 travel credit ✓ • Priority Pass ✓ • Doesn't count toward 5/24 ✓,• $795 annual fee 💰 • Needs high travel spend • Overlaps personal Reserve,https://creditcards.chase.com/business-credit-cards/sapphire/reserve,0%,Priority Pass + Chase lounges,Yes ($120/4yr),$300 travel credit,$500 The Edit + DoorDash $420
Ink Business Preferred Credit Card,Chase,business,95,95,95,travel,Ultimate Rewards (UR),Ink ,,0.5,90000,points,900,"$8,000",0.1125,3,,No,Small businesses maximizing Ultimate Rewards points on common expense categories,Flagship Ink card optimized for points earning on internet shipping advertising and travel,"• 100k+ welcome bonus ✓ • 3× travel, shipping, internet, ads ✓ • Transferable UR ✓ • Doesn't count 5/24 ✓",• $95 annual fee 💰 • 3× capped at $150k/yr • Tied to Chase UR partners,https://creditcards.chase.com/business-credit-cards/ink/preferred,0%,,,5x Lyft thru 9/27,"12mo DashPass, $10/mo DoorDash"
Ink Business Premier Credit Card,Chase,business,195,195,195,cashback,Cash,Ink ,2.5 / 2,2.2,1000,dollars,1000,"$10,000",0.1000,3,,No,High-spend businesses wanting simple cash back on large purchases,Premium cash-back Ink optimized for businesses making frequent large transactions ($5k+),"• 2.5% on ≥$5k purchases ✓ • 2% elsewhere ✓ • $1,000 welcome bonus ✓","• $195 annual fee 💰 • Cash only, no transfers • Needs high spend to justify",https://creditcards.chase.com/business-credit-cards/ink/premier,0%,,,Cell phone protection,2.5% on $5k+ purchases
United Business Card,Chase,business,0,0,150,airline,United Miles,United ,2 / 1.5 / 1,0.5,100000,miles,1000,"$5,000",0.2000,3,,No,Small businesses with moderate United travel seeking strong welcome bonus and perks,Brings United co-brand earning and benefits to business travelers at accessible cost,• First year free ✓ • 100k+ welcome bonus ✓ • Free checked bag ✓ • Doesn't count 5/24 ✓,• $150 after year one 💰 • Best with regular United travel • Fewer perks than Club,https://creditcards.chase.com/business-credit-cards/united/united-business-card,0%,,,2 United Club passes/yr,Over $600 partner credits
United Club Business Card,Chase,business,695,695,695,airline,United Miles,United ,4 / 2 / 1,0.5,100000,miles,1000,"$5,000",0.2000,3,,No,Businesses with weekly United travel needing lounge access and premium benefits,Premium United business card delivering United Club membership and elevated earning,• United Club included ✓ • 4× United ✓ • Free bags ✓ • Doesn't count 5/24 ✓,• $695 annual fee 💰 • Needs very frequent United travel • Niche outside United hubs,https://creditcards.chase.com/business-credit-cards/united/united-club-business,0%,United Club included,,Free 1st+2nd checked bags,Over $925 partner credits
Southwest Rapid Rewards Performance Business,Chase,business,299,299,299,airline,Southwest Rapid Rewards,Southwest ,4 / 3 / 2 / 1,0.5,80000,miles,1200,"$5,000",0.2400,3,,No,Businesses building large Southwest point balances and pursuing Companion Pass,Top-tier Southwest business card packed with credits anniversary points and huge welcome bonus,"• 80k welcome bonus ✓ • 9,000 anniversary pts ✓ • Wi-Fi, upgraded boarding ✓",• $299 annual fee 💰 • Credits need active use • Tied to Southwest,https://creditcards.chase.com/southwest/performance-business-credit-card,0%,,Yes ($120/4yr),"9,000 pts anniversary","Preferred seat at booking, Extra Legroom"
Southwest Rapid Rewards Premier Business,Chase,business,149,149,149,airline,Southwest Rapid Rewards,Southwest ,3 / 2 / 1,0.5,60000,miles,900,"$3,000",0.3000,3,,No,Small businesses flying Southwest occasionally and contributing to Companion Pass,Entry Southwest business card balancing cost and Companion Pass qualification,"• 6,000 anniversary pts ✓ • 3× Southwest ✓ • Companion Pass qualification ✓",• $149 annual fee 💰 • Fewer perks than Performance • Best with Companion Pass,https://creditcards.chase.com/business-credit-cards/southwest/premier-business,0%,,,"6,000 pts anniversary",15% flight discount; Preferred seat within 48hrs
IHG One Rewards Premier Business,Chase,business,99,99,99,hotel,IHG One Rewards,IHG ,10 / 5 / 3 / 1,0.6,140000,points,466,"$4,000",0.1165,3,,No,Businesses with regular IHG stays seeking Platinum status and strong multipliers,Business version of IHG Premier delivering same hotel perks with expense separation,• 10× IHG ✓ • Free night (40k pts) ✓ • Platinum Elite status ✓,• $99 annual fee 💰 • Free night caps at 40k • IHG loyalty needed,https://creditcards.chase.com/business-credit-cards/ihg/rewards-premier-business,0%,,Yes ($120/4yr),Anniversary free night (40k),$100+10k pts after $20k/yr; 4th night free
World of Hyatt Business Credit Card,Chase,business,199,199,199,hotel,World of Hyatt Points,,4 / 2 / 1,0.6,60000,points,200,"$1,000",0.2000,3,,No,Businesses loyal to Hyatt properties wanting elite nights via card spend,Hyatt business card offering unique ability to earn elite qualifying nights through spending,• 5 elite nights per $10k spend ✓ • 4× Hyatt ✓ • Doesn't count toward 5/24 ✓,• $199 annual fee 💰 • Hyatt footprint only • Elite caps,https://creditcards.chase.com/business-credit-cards/hyatt/business,0%,,,$100 Hyatt credits ($50 x2); Discoverist + 5 employees,5 Tier Nights per $10k; 10% pts back after $50k
Citi Double Cash,Citi,personal,0,0,0,cashback,Cash,,2,2.0,200,dollars,200,$500,0.4000,3,0% for balance transfers,Yes,Straightforward 2% cash back on everything without tracking categories or caps,Market-leading flat-rate cash back for set-it-and-forget-it earners who want simplicity,• 2% on all purchases ✓ • No annual fee ✓ • 0% balance transfer intro,• Foreign transaction fee 🌍 • Must pay balance for 2nd 1% • Statement credit only,https://www.citi.com/credit-cards/citi-double-cash-credit-card,3%,,,5% hotels/cars/attractions via Citi Travel,
Citi Custom Cash,Citi,personal,0,0,0,cashback,Cash,,5 / 1,2.2,200,dollars,200,$500,0.4000,3,0% for balance transfers,Yes,Automatic 5% back on your top spending category each month up to $500,Hands-off high earning that detects your top spend category without manual activation,• 5% top category (up to $500/mo) ✓ • No annual fee ✓ • No FX fee ✓,• 5% capped at $500/mo • Can't choose category • Statement credit only,https://www.citi.com/credit-cards/citi-custom-cash-credit-card,3%,,,4% hotels/cars/attractions via Citi Travel,
Citi Strata Premier,Citi,personal,95,95,95,travel,Thank You Points (TYP),Strata ,,0.5,60000,points,600,"$3,000",0.2000,3,,No,Travelers wanting transferable points with strong dining travel and gas multipliers,Mid-tier travel card offering Citi ThankYou points with airline/hotel transfer partners at accessible annual fee,"• 3× dining, travel, gas, supermarkets ✓ • Transfer to 18+ partners ✓ • $100 hotel credit",• $95 annual fee 💰 • Partners weaker vs Chase/Amex 📉 • Hotel credit needs spend,https://www.citi.com/credit-cards/citi-strata-premier-credit-card,0%,,,10× hotels/cars/attractions (Citi Travel),$100 hotel credit ($500+ stay)
Citi AAdvantage Platinum Select World Elite Mastercard,Citi,personal,99,0,99,airline,AAdvantage Miles,American ,2 / 1,0.5,80000,miles,800,"$3,500",0.2286,4,,No,Regular American Airlines flyers wanting free checked bags and priority boarding,Core AA co-brand delivering essential flight perks for frequent AA travelers at mid-tier price,"• 2× AA, dining, gas ✓ • Free checked bag ✓ • No FX fee ✓",• $99 annual fee 💰 • Best with 4+ AA trips/yr • AAdvantage devaluation risk ⚠️,https://creditcards.aa.com/credit-cards/citi-platinum-card-american-airlines-direct/,0%,,,Free checked bag + 4 companions,25% inflight savings; $125 flight discount after $20k
Citi AAdvantage Globe Mastercard,Citi,personal,350,350,350,airline,AAdvantage Miles,American ,2 / 1,0.5,90000,miles,900,"$5,000",0.1800,4,,No,Premium AA flyers wanting lounge passes and strong earn without Executive-tier fee,Mid-tier AA card with 4 Admirals Club passes and elevated earning,• 90k bonus ✓ • 4 Admirals Club passes/yr ✓ • 6× hotels • 3× AA ✓,• $350 annual fee 💰 • Best with regular AA travel • Globe revamped 2025,https://creditcards.aa.com/credit-cards/citi-globe-card-american-airlines-direct/,0%,4 Admirals Club passes/yr,Yes ($120/4yr),Companion certificate (yr 2+); Free bag +8 companions,$100 Splurge + $240 Turo + $100 inflight credits
Citi AAdvantage Executive World Elite Mastercard,Citi,personal,595,595,595,airline,AAdvantage Miles,American ,2 / 1,0.5,100000,miles,1000,"$10,000",0.1000,3,,No,Elite AA travelers flying 10+ times per year needing Admirals Club lounge access,Premium AA card delivering full lounge membership for frequent business travelers and AA loyalists,• Admirals Club included (~$650) ✓ • Free checked bag • No FX fee ✓,• $595 annual fee 💰 • Best with 8+ AA trips/yr • AAdvantage risk ⚠️,https://creditcards.aa.com/credit-cards/citi-executive-card-american-airlines-direct/,0%,Admirals Club included,Yes ($120/4yr),"10× hotels/cars (aadvantagehotels.com, aadvantagecars.com)",4× AA; $120 Avis/Budget + Lyft + Grubhub credits
Citi Strata Elite Credit Card,Citi,personal,195,195,195,travel,Thank You Points (TYP),Strata ,,0.5,80000,points,800,"$3,000",0.2667,3,,No,High spenders wanting premium travel perks and dining/entertainment credits with Citi points,Top-tier Citi travel card with elevated earn rates statement credits and transfer flexibility,"• 5× travel via Citi portal ✓ • 3× dining, entertainment, gas ✓ • $100 hotel + $50 credits",• $195 annual fee 💰 • Credits need tracking • Partners weaker vs Chase/Amex 📉,https://www.citi.com/credit-cards/citi-strata-elite-credit-card,0%,Priority Pass Select + 4 Admirals Club passes,Yes ($120/4yr),$300 hotel + $200 Splurge + $200 Blacklane credits,12× Citi Travel; 6× AA (Citi Travel); 6× Citi Nights dining
Citi Strata Credit Card,Citi,personal,0,0,0,travel,Thank You Points (TYP),Strata ,,0.5,30000,points,300,"$3,000",0.1000,3,,No,Entry-level travelers wanting transferable points without annual fee commitment,No-fee access to Citi ThankYou transferable points for casual travelers building flexibility,"• No annual fee ✓ • Transfer to airlines/hotels ✓ • 2× dining, travel",• Lower earn vs Premier/Elite • Foreign transaction fee 🌍 • Fewer partners,https://www.citi.com/credit-cards/citi-strata-credit-card,3%,,,5× Citi Travel; 3× self-select category,Intro APR on purchases and balance transfers
Citi Diamond Preferred Credit Card,Citi,personal,0,0,0,balance_transfer,,,,0.0,0,,0,$0,,0,0% for 21 months,Yes,Longest 0% intro APR for balance transfers in the market,Offers industry-leading 21-month intro period for debt consolidation and payoff plans,• 21-month 0% balance transfers ✓ • No annual fee ✓ • Industry-leading intro,• No rewards ⚠️ • Balance transfer fee 3-5% • Foreign transaction fee 🌍,https://www.citi.com/credit-cards/citi-diamond-preferred-credit-card,3%,,,21-month 0% balance transfers,21-month 0% purchases
Citi Simplicity Credit Card,Citi,personal,0,0,0,balance_transfer,,,,0.0,0,,0,$0,,0,0% for 21 months,Yes,0% intro APR with no late fees ever for stress-free credit management,Unique no-penalty structure with no late fees ever for users wanting payment flexibility and simplicity,• 21-month 0% APR ✓ • No late fees ever ✓ • No annual fee ✓,• No rewards ⚠️ • Foreign transaction fee 🌍 • Debt payoff only,https://www.citi.com/credit-cards/citi-simplicity-credit-card,3%,,,No late fees ever,No penalty APR
Citi AAdvantage MileUp Card,Citi,personal,0,0,0,airline,AAdvantage Miles,American ,2 / 1,0.5,15000,miles,150,$500,0.3000,3,,No,Light AA flyers who also want bonus earning on groceries without annual fee,Hybrid card blending AA airline earning with grocery category bonus for everyday value,"• No annual fee ✓ • 2× groceries, gas ✓ • Milestone bonuses ✓",• Lower AA earn • No free bag ✈️ • Smaller bonus,https://creditcards.aa.com/credit-cards/citi-mileup-card-american-airlines-direct/,3%,,,25% inflight food/beverage savings,
Citi Secured Mastercard,Citi,personal,0,0,0,credit_building,,,,0.0,0,,0,$0,,0,,Yes,Building or rebuilding credit with a secured deposit and path to unsecured card,Secured card designed for credit establishment with low barrier to entry and upgrade potential,• Low deposit ✓ • Reports to all bureaus ✓ • Path to unsecured • No annual fee ✓,• No rewards ⚠️ • Security deposit required • Foreign transaction fee 🌍,https://www.citi.com/credit-cards/citi-secured-credit-card,3%,,,"Security deposit $200-$2,500",Path to unsecured
Costco Anywhere Visa Business Card by Citi,Citi,business,0,0,0,cashback,Cash,,4 / 3 / 2 / 1,2.3,0,,0,$0,,0,,Yes,Businesses with Costco membership and high gas/travel/dining spend,Business version of Costco's strong category card optimized for warehouse and business travel,"• 4% gas (up to $7k/yr) ✓ • 3% restaurants, travel ✓ • 2% Costco • No card fee ✓",• Requires Costco membership ⚠️ • Rewards paid annually (Feb) • Foreign transaction fee 🌍,https://www.citi.com/credit-cards/citi-costco-anywhere-visa-business-credit-card,0%,,,5% Costco gas; 4% other gas/EV (to $7k/yr),"3% restaurants, travel; 2% Costco; Rewards in Feb"
Citi AAdvantage Business World Elite Mastercard,Citi,business,99,0,99,airline,AAdvantage Miles,American ,2 / 1,0.5,65000,miles,650,"$4,000",0.1625,4,,No,Small businesses flying AA regularly for meetings clients or conferences,AA business card delivering strong earning on common business categories and flight perks,"• 2× AA, gas, telecom ✓ • Free checked bag • Doesn't count 5/24",• $99 annual fee 💰 • Best with regular AA travel • AAdvantage risk ⚠️,https://creditcards.aa.com/credit-cards/citi-business-card-american-airlines-direct/,0%,,,Free checked bag + 4 companions,25% inflight; Companion cert after $30k spend
Capital One Quicksilver,Capital One,personal,0,0,0,cashback,Cash,,1.5,1.5,200,dollars,200,$500,0.4000,3,0% for 15 months,Yes,Simple unlimited 1.5% cash back on all purchases without thinking,Straightforward flat-rate card for users wanting simplicity over category optimization,• 1.5% on everything ✓ • No annual fee ✓ • 0% intro 15 mo • No FX fee ✓,• No bonus categories • Lower than category cards • Smaller bonus,https://www.capitalone.com/credit-cards/quicksilver/,0%,,,Capital One Travel; price drop protection,Hertz Five Star status
Capital One SavorOne,Capital One,personal,0,0,0,cashback,Cash,,3 / 2 / 1,1.7,200,dollars,200,$500,0.4000,3,0% for 15 months,Yes,Dining and entertainment spending with strong grocery and streaming bonuses,No-fee lifestyle card targeting foodies and entertainment spenders with everyday categories,"• 3% dining, entertainment, streaming ✓ • 3% groceries ✓ • No annual fee ✓",• Grocery excl. Walmart/Target • Narrow entertainment • Lower ceiling,https://www.capitalone.com/credit-cards/savorone/,0%,,,3% grocery (excl. Walmart/Target) • dining • entertainment • streaming,1% all other
Capital One Venture,Capital One,personal,95,95,95,travel,Capital One Miles,,,0.5,75000,miles,750,"$4,000",0.1875,3,,No,Straightforward travel rewards with simple 2× earning on everything,Entry-premium travel card offering flat-rate miles and flexible redemption without transfer complexity,• 2× miles on everything ✓ • 1¢ toward travel ✓ • Transfer to 15+ partners,• $95 annual fee 💰 • Partners weaker vs Chase/Amex 📉 • Flat 2× only,https://www.capitalone.com/credit-cards/venture/,0%,,Yes ($120/4yr),$250 travel credit (yr 1); 5× hotels/rental cars via Capital One Travel,Hertz Five Star; $50 Lifestyle Collection credit
Capital One Venture X,Capital One,personal,395,395,395,travel,Capital One Miles,,,0.5,75000,miles,750,"$4,000",0.1875,3,,No,Premium travel with strong lounge access credits and travel perks under $400 annual fee,Flagship Capital One travel card competing with Chase Sapphire Reserve at lower annual fee with better credit offsetting value,• 2× miles (10× via portal) ✓ • $300 travel credit ✓ • Priority Pass + lounges ✓,• $395 annual fee 💰 • 10× needs portal • Fewer partners vs Amex/Chase 📉,https://www.capitalone.com/credit-cards/venture-x/,0%,Capital One Lounges + Priority Pass,Yes ($120/4yr),$300 annual travel credit; 10k anniversary miles,Hertz President's Circle; PRIOR ($149); Cultivist 50% off
Capital One Platinum,Capital One,personal,0,0,0,credit_building,,,,0.0,0,,0,$0,,0,,No,Building or rebuilding credit with unsecured card and credit line increase path,Unsecured starter card for fair/limited credit with potential for automatic reviews and credit line growth,"• No annual fee ✓ • Unsecured, no deposit ✓ • Credit line reviews ✓",• No rewards ⚠️ • Credit building only • Foreign transaction fee 🌍,https://www.capitalone.com/credit-cards/platinum/,0%,,,Credit building; no rewards,
Capital One Spark Cash,Capital One,business,95,0,95,cashback,Cash,Spark ,2,2.0,1000,dollars,1000,$10000,0.1000,3,,No,Simple unlimited 2% cash back for small businesses wanting flat-rate earning,No-fee business cash back for straightforward expense tracking and earning without categories,• 2% on all business purchases ✓ • $0 intro AF then $95 ✓ • No FX fee ✓,• No bonus categories • $1k bonus needs $10k spend • 5× only via portal,https://www.capitalone.com/small-business/credit-cards/spark-cash/,0%,,,5% hotels and rental cars via Capital One Business Travel,2% unlimited on all purchases
Capital One Spark Cash Plus,Capital One,business,150,150,150,cashback,Cash,Spark ,2 / 5 travel portal,2.0,2000,dollars,2000,$30000,0.0667,3,,No,High-spend businesses wanting unlimited 2% cash back on everything,Premium unlimited cash back for businesses with heavy monthly spend seeking simple strong earning,"• 2% on all purchases ✓ • $2,000 welcome ✓ • 5% hotels/cars via portal ✓",• $150 annual fee 💰 • Charge card pay in full • AF refund if spend $150k/yr,https://www.capitalone.com/small-business/credit-cards/spark-cash-plus/,0%,,,$2k+ per $500k first year; 5% hotels/cars via Business Travel,AF refund if spend $150k/year; charge card
Capital One Spark Cash Select,Capital One,business,0,0,0,cashback,Cash,Spark ,1.5,1.5,750,dollars,750,$6000,0.1250,3,,No,No-fee business cash back for startups or businesses with moderate spend,Starter business card with flat cash back and easier approval than Spark Cash Plus,• No annual fee ✓ • 1.5% on all purchases ✓ • $750 bonus ✓,• Lower earn than Spark Cash Plus • 5× only via portal • No bonus categories,https://www.capitalone.com/small-business/credit-cards/spark-cash-select/,0%,,,5% hotels/rental cars via Capital One Business Travel,1.5% unlimited; no annual fee
Capital One Venture X Business,Capital One,business,395,395,395,travel,Capital One Miles,,2 / 10 / 5,0.5,150000,miles,1500,$30000,0.0500,3,,No,Premium business travel with lounge access strong portal earning and travel credits,Flagship business travel card competing with Amex Business Platinum at lower annual fee with better value proposition,• 2× miles (10× via portal) ✓ • $300 travel credit ✓ • Priority Pass + lounges ✓,• $395 annual fee 💰 • 10× needs portal • 150k bonus needs $30k spend • Fewer partners 📉,https://www.capitalone.com/small-business/credit-cards/venture-x-business/,0%,Capital One Lounges + Priority Pass,Yes ($120/4yr),$300 annual travel credit; 10k anniversary miles,10× hotels/cars; 5× flights/vacation rentals via Business Travel
Capital One Spark Miles,Capital One,business,0,0,95,travel,Capital One Miles,Spark ,2 / 5 travel portal,0.5,50000,miles,500,$4500,0.1111,3,,No,Simple business travel rewards with 2× miles on everything and no annual fee,No-fee business travel card for straightforward miles earning without category tracking,• 2× miles on everything ✓ • 5× hotels/cars via portal ✓ • $0 intro AF then $95 ✓,• Lower bonus • No lounges • 5× needs portal booking,https://www.capitalone.com/small-business/credit-cards/spark-miles/,0%,,,5× hotels/rental cars via Capital One Business Travel,Hertz Five Star; GE/TSA $120; Lifestyle Collection $50
Bank of America Customized Cash,Bank of America,personal,0,0,0,cashback,Cash,,3 / 2 / 1,1.7,200,dollars,200,$500,0.4000,3,0% for 15 months,Yes,Choosing your own 3% category each month from common spending areas,Flexible category optimization for users who want control over bonus earning without annual fee,"• 3% category choice ✓ • 2% grocery, wholesale • Preferred Rewards up to 5.25% ✓","• 3% capped $2,500/qtr • Must select category • Foreign transaction fee 🌍",https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/,3%,,,3% choice category; 2% grocery wholesale,Preferred Rewards boost up to 5.25%
